time,odom_x,odom_y,odom_theta,lidar_x,lidar_y,est_x,est_y,est_theta,diff,rate_of_change,expected_change,covariance_trace,linear_vel,angular_vel,anomaly_detected,attack_active
1757356699.7327085,0.35332228452818165,-0.3280856164959722,-0.7515,0.0,0.0,0.6561163983950911,-0.159586712965334,-0.7517582577251601,1.133478839616665,0.44221030318218685,0.014751315116882324,0.06647775428764184,0.5,0.0,0,0
1757356699.7661035,0.365648914881527,-0.33949311408530874,-0.7518,0.0,0.0,0.6753851164963383,-0.16498846058603123,-0.7519120217802819,1.1655878739105072,0.5038666596615571,0.01666891574859619,0.06651650698339484,0.5,0.0,0,0
1757356699.7992914,0.37853866837879274,-0.35164602398883127,-0.7519,0.0,0.0,0.6917943329141093,-0.1706679755578548,-0.7520480297184537,1.1909139150630164,0.5352989255150693,0.016547560691833496,0.06652649805865074,0.5,0.0,0,0
1757356699.8326797,0.3956914804667322,-0.3676899816080384,-0.7522,0.0,0.0,0.7096807127459089,-0.17727141639540323,-0.7522315457015523,1.2162390016285314,0.7055943807671803,0.016644597053527832,0.06654688952815593,0.5,0.0,0,0
1757356699.8658977,0.4072224935211661,-0.3784813352536283,-0.7525,0.0,0.0,0.7253589185697189,-0.1834710906553808,-0.7524482924797797,1.2409882538568493,0.476560717169906,0.01657271385192871,0.06655072438993008,0.5,0.0,0,0
1757356699.90012,0.4160236094283271,-0.3867359964065403,-0.7528,0.0,0.0,0.7456479139577328,-0.1889997378933806,-0.752693926931846,1.2782475189349312,0.3539510606046872,0.017050623893737793,0.06661949251362001,0.5,0.0,0,0
1757356699.9327316,0.42444420803147626,-0.3946260835326737,-0.7531,0.0,0.0,0.7527851232902182,-0.19388307619922227,-0.7529494799063856,1.2864597145821697,0.35564284449135763,0.016228914260864258,0.0665510346383192,0.5,0.0,0,0
1757356699.9660008,0.43528004200108894,-0.4047863514959159,-0.7535,0.0,0.0,0.7664659798271458,-0.1989046258366152,-0.7532514779438679,1.3074920099588883,0.448555826848871,0.016563773155212402,0.06655186043706088,0.5,0.0,0,0
1757356700.0028186,0.4540596480240331,-0.42238531611056535,-0.754,0.0,0.0,0.8037202952439223,-0.20557495753881916,-0.7536298442932604,1.3752215491382804,0.7011461528532873,0.018357038497924805,0.06680356028322822,0.5,0.0,0,0
1757356700.0334659,0.46192429623213493,-0.42977178098891305,-0.7543,0.0,0.0,0.7913193305963522,-0.2108163031465001,-0.7539607351274376,1.3402676045802466,0.3540454065004645,0.015243291854858398,0.06653346148134223,0.5,0.0,0,0
1757356700.0997353,0.48089551061081737,-0.4476036688026483,-0.7548,0.0,0.0,1.01265895082217,-0.21964975920471166,-0.7545105767079997,1.8363481890041509,0.3935114733536541,0.033087968826293945,0.06913053185265648,0.5,0.0,0,0
1757356700.1045332,0.4906515170911193,-0.4571569968261252,-0.7551,0.0,0.0,0.7592644795952366,-0.22323472600622385,-0.7547033712284706,1.2482548133642681,2.9446387223683077,0.0023190975189208984,0.06609244299912441,0.5,0.0,0,0
1757356700.132906,0.5008058324891363,-0.4668625779874648,-0.7554,0.0,0.0,0.7624598238337817,-0.22875440850163944,-0.7550384889827195,1.2471390861352116,0.49766798041591964,0.014115691184997559,0.06590829452381386,0.5,0.0,0,0
1757356700.1661131,0.5106525265428292,-0.47628618737280376,-0.7558,0.0,0.0,0.8021015107206316,-0.23431851011722218,-0.7554187917233605,1.3248038262085613,0.41189990026316925,0.016551733016967773,0.06610113094437706,0.5,0.0,0,0
1757356700.1993244,0.5276473347131443,-0.492133911248024,-0.7562,0.0,0.0,0.8328773154011724,-0.2407929204606877,-0.7558084246782913,1.3788202917633858,0.7016706737221273,0.016561031341552734,0.0662407459221165,0.5,0.0,0,0
1757356700.234825,0.538529671166671,-0.5024015725356018,-0.7565,0.0,0.0,0.8721317871942755,-0.24696794303183967,-0.7561873051264233,1.4559627023292434,0.4226082669647623,0.017705082893371582,0.06649344520491585,0.5,0.0,0,0
1757356700.2731466,0.5525344195330031,-0.5156258242231223,-0.757,0.0,0.0,0.9202650604604675,-0.25354050404017586,-0.756619940509645,1.551305857201278,0.5039517018478874,0.019117116928100586,0.06686680731162063,0.5,0.0,0,0
1757356700.3026483,0.5636760219253253,-0.5258125385296218,-0.7572,0.0,0.0,0.8933304144714036,-0.25900295859415506,-0.7569419687339782,1.4826335786541822,0.5128808542519993,0.01471865177154541,0.06649723037331919,0.5,0.0,0,0
1757356700.3325355,0.5739341931808289,-0.5353616925123599,-0.7574,0.0,0.0,0.8837168530039389,-0.26425454502448376,-0.7572316999445027,1.4535539967168487,0.47100955252398075,0.014878988265991211,0.06628262798167492,0.5,0.0,0,0
1757356700.366866,0.5871398586894907,-0.5476537030939622,-0.7578,0.0,0.0,0.9147743186392123,-0.27017789738243686,-0.757578944740098,1.5109796313724775,0.526709402963296,0.017130494117736816,0.06644468118768047,0.5,0.0,0,0
1757356700.3996694,0.6028889530874987,-0.5627354245805367,-0.758,0.0,0.0,0.9282546832366836,-0.2766273083165684,-0.7578769895218964,1.5285823648151788,0.6661903781378754,0.01636672019958496,0.06645177098153295,0.5,0.0,0,0
1757356700.434987,0.6147411455475511,-0.573956402521014,-0.7582,0.0,0.0,0.958991749529801,-0.2829856594820013,-0.7581609670256937,1.586488810440384,0.46320140304223323,0.01761925220489502,0.06662978672333951,0.5,0.0,0,0
1757356700.466244,0.6262408329547022,-0.5848485110915573,-0.7585,0.0,0.0,0.952801352777024,-0.28874372086021555,-0.7584281289723811,1.5641561553938457,0.5079457264107675,0.015594244003295898,0.06646901195262614,0.5,0.0,0,0
1757356700.5009046,0.6354319442216536,-0.5935759304730625,-0.7588,0.0,0.0,0.977839980141468,-0.2942619190185631,-0.7587239588602992,1.6114393420446265,0.3664998608424677,0.017296195030212402,0.06659674546458849,0.5,0.0,0,0
1757356700.5380156,0.6438260542919944,-0.6015367735416961,-0.7591,0.0,0.0,1.0134492670626174,-0.2994020531679572,-0.7590343984394873,1.6828175382254758,0.3135505320627798,0.01845419406890869,0.06684650282999038,0.5,0.0,0,0
1757356700.566455,0.6546283879420617,-0.6117868938027264,-0.7594,0.0,0.0,0.9755941368700322,-0.30391023530729305,-0.7592954332185738,1.5920768042667215,0.5260176060247528,0.014157772064208984,0.06641124725893165,0.5,0.0,0,0
1757356700.60394,0.6730966120515235,-0.6293354533470848,-0.7596,0.0,0.0,1.02533921410473,-0.3107007737605479,-0.7595888882201414,1.686779039879965,0.6821500202778814,0.01867389678955078,0.06674803658243784,0.5,0.0,0,0
1757356700.6415277,0.68501544700348,-0.6406742362970494,-0.7598,0.0,0.0,1.060150841908182,-0.31712614519950394,-0.7598555987035251,1.7540181710366152,0.43897093714047,0.01873922348022461,0.0669880492155629,0.5,0.0,0,0
1757356700.666353,0.7003542044350856,-0.6552748413224488,-0.7601,0.0,0.0,0.9899813657757853,-0.3229151509166377,-0.7600619164287578,1.5914531796869813,0.857066715951161,0.012355446815490723,0.06625538532000372,0.5,0.0,0,0
